iter,lr,train_loss,grad_norm
0,4.9975012493753125e-09,4.191171228885651,1.0480560270380854
5,2.998500749625188e-08,4.205307960510254,1.0711349656783116
10,5.497251374312844e-08,4.1963329911231995,1.0512010201157689
15,7.9960019990005e-08,4.197915196418762,1.0675879456627033
20,1.0494752623688156e-07,4.196659624576569,1.053579111023365
25,1.2993503248375813e-07,4.191173613071442,1.055656439600039
30,1.549225387306347e-07,4.198480546474457,1.0425441886031135
35,1.7991004497751125e-07,4.1884928941726685,1.0552081471929422
40,2.0489755122438784e-07,4.196447730064392,1.0554912201575966
45,2.2988505747126437e-07,4.187231659889221,1.0686752764881537
50,2.5487256371814093e-07,4.196303486824036,1.0709707083806432
55,2.798600699650175e-07,4.199112355709076,1.0679548778669707
60,3.048475762118941e-07,4.195704460144043,1.0651835010992783
65,3.2983508245877067e-07,4.197660982608795,1.059778885198899
70,3.548225887056472e-07,4.189415872097015,1.071019627123068
75,3.7981009495252374e-07,4.196833670139313,1.0638583971274673
80,4.0479760119940035e-07,4.197237491607666,1.056667188485969
85,4.297851074462769e-07,4.199279844760895,1.054814813557126
90,4.5477261369315347e-07,4.188503623008728,1.0664925726405918
95,4.797601199400301e-07,4.1914525628089905,1.0690385265160811
100,5.047476261869066e-07,4.193345606327057,1.0737577596417933
105,5.297351324337832e-07,4.195485711097717,1.0601357004070633
110,5.547226386806597e-07,4.190586507320404,1.0791176378375358
115,5.797101449275362e-07,4.188910126686096,1.0688277785199591
120,6.046976511744128e-07,4.19208437204361,1.078774680411113
125,6.296851574212893e-07,4.178909361362457,1.0685657437064924
130,6.546726636681661e-07,4.189743399620056,1.076310520916526
135,6.796601699150426e-07,4.187378287315369,1.0829873672680015
140,7.046476761619191e-07,4.184901714324951,1.0896606640923574
145,7.296351824087957e-07,4.183694422245026,1.090925925625846
150,7.546226886556722e-07,4.179357886314392,1.1025140368214816
155,7.796101949025488e-07,4.184008240699768,1.092820987607196
160,8.045977011494253e-07,4.182319641113281,1.0906539963655233
165,8.295852073963019e-07,4.179476797580719,1.0905514425070815
170,8.545727136431785e-07,4.189988672733307,1.1120725474931892
175,8.79560219890055e-07,4.178232252597809,1.0966378507740735
180,9.045477261369317e-07,4.178548753261566,1.099810125001892
185,9.295352323838082e-07,4.173334240913391,1.1096185212838956
190,9.545227386306847e-07,4.182218015193939,1.1116678079855855
195,9.795102448775615e-07,4.177135527133942,1.1166819429706558
200,1.004497751124438e-06,4.172374606132507,1.101255529796108
205,1.0294852573713145e-06,4.1726937890052795,1.1134837359864636
210,1.0544727636181911e-06,4.175238013267517,1.1129375300341393
215,1.0794602698650675e-06,4.18002188205719,1.1236968812500931
220,1.1044477761119441e-06,4.178183078765869,1.131954844968342
225,1.1294352823588208e-06,4.175010621547699,1.127125683622123
230,1.1544227886056972e-06,4.175180494785309,1.14340086317526
235,1.1794102948525738e-06,4.167381227016449,1.1438089109647132
240,1.2043978010994504e-06,4.1769662499427795,1.150815115506472
245,1.229385307346327e-06,4.168151319026947,1.1519501739031255
250,1.2543728135932034e-06,4.167231619358063,1.168683809526099
255,1.27936031984008e-06,4.168430268764496,1.1643294144629306
260,1.3043478260869566e-06,4.169151186943054,1.1722581708377422
265,1.329335332333833e-06,4.172075390815735,1.1730172585170133
270,1.3543228385807096e-06,4.1670942306518555,1.1703828269438081
275,1.3793103448275865e-06,4.161075055599213,1.2008841331796007
280,1.404297851074463e-06,4.157512784004211,1.1807358756988704
285,1.4292853573213395e-06,4.152066707611084,1.204477448922033
290,1.454272863568216e-06,4.156584143638611,1.2043084168267255
295,1.4792603698150927e-06,4.158512651920319,1.197319402013852
300,1.504247876061969e-06,4.147252440452576,1.2306786725003762
