iter,lr,train_loss,grad_norm
0,4.997501249375312e-07,4.191171228885651,1.0480560270380854
5,2.9985007496251876e-06,4.203954637050629,1.074970649936492
10,5.497251374312843e-06,4.191475808620453,1.0651149231596964
15,7.9960019990005e-06,4.186590313911438,1.1002694009370175
20,1.0494752623688157e-05,4.1771262884140015,1.1129753152109982
25,1.2993503248375813e-05,4.162969589233398,1.1536638923189024
30,1.5492253873063468e-05,4.156136512756348,1.193850182348105
35,1.7991004497751128e-05,4.1301751136779785,1.2731710435863066
40,2.048975512243878e-05,4.117245078086853,1.3548028667583483
45,2.2988505747126437e-05,4.090641140937805,1.4605074453668798
50,2.5487256371814096e-05,4.060707092285156,1.5356105005213898
55,2.798600699650175e-05,4.031838774681091,1.5904713462063242
60,3.0484757621189405e-05,4.011752605438232,1.5818713754420957
65,3.2983508245877065e-05,3.9731597900390625,1.5241578726029255
70,3.5482258870564725e-05,3.941545784473419,1.461051897554017
75,3.798100949525237e-05,3.9202335476875305,1.3913272491436197
80,4.047976011994003e-05,3.876487612724304,1.32881730336514
85,4.297851074462769e-05,3.845711350440979,1.2946092302486416
90,4.547726136931534e-05,3.8309186697006226,1.274404125395918
95,4.7976011994003e-05,3.813490867614746,1.2558928403184315
100,5.0474762618690655e-05,3.807968497276306,1.2466227426692986
105,5.297351324337831e-05,3.7865623831748962,1.209048482469539
110,5.547226386806597e-05,3.7793388962745667,1.2225733090586932
115,5.797101449275363e-05,3.7547922134399414,1.193944354890909
120,6.046976511744128e-05,3.746420443058014,1.1815457690262012
125,6.296851574212893e-05,3.749842643737793,1.1635301229319468
130,6.54672663668166e-05,3.6791178584098816,1.1561765056224063
135,6.796601699150425e-05,3.6677849292755127,1.140211261849124
140,7.04647676161919e-05,3.6710605025291443,1.133883810813951
145,7.296351824087956e-05,3.6084991693496704,1.1171291685399931
150,7.546226886556721e-05,3.590366840362549,1.1135503353602119
155,7.796101949025488e-05,3.5808998346328735,1.0889754843748503
160,8.045977011494253e-05,3.543120324611664,1.0857538313236457
165,8.295852073963018e-05,3.5420790314674377,1.0684258825656041
170,8.545727136431785e-05,3.5140693187713623,1.0739281100141729
175,8.795602198900549e-05,3.490789532661438,1.0512921465196947
180,9.045477261369315e-05,3.4565046429634094,1.0388060383466
185,9.295352323838081e-05,3.4215468168258667,1.024969248990701
190,9.545227386306847e-05,3.4316518902778625,1.0133808602137813
195,9.795102448775613e-05,3.3826419711112976,0.9995280709724013
200,0.00010044977511244378,3.4105437994003296,0.9770976805344149
205,0.00010294852573713145,3.320862650871277,0.9666579535962994
210,0.00010544727636181909,3.3336859941482544,0.9347220515380672
215,0.00010794602698650675,3.2906585931777954,0.9322709379981621
220,0.0001104447776111944,3.283720314502716,0.9185743252919706
225,0.00011294352823588206,3.2728442549705505,0.8932605259087777
230,0.00011544227886056972,3.24517160654068,0.879050656532091
235,0.00011794102948525738,3.246208131313324,0.8654728891134923
240,0.00012043978010994503,3.2168689370155334,0.850753591234583
245,0.00012293853073463268,3.203699290752411,0.8219457141102023
250,0.00012543728135932034,3.184671700000763,0.8171603443769273
255,0.000127936031984008,3.1939682364463806,0.7873740206011415
260,0.00013043478260869567,3.110359013080597,0.7780141727479064
265,0.00013293353323338332,3.1264889240264893,0.7542903284890315
270,0.00013543228385807097,3.1157755851745605,0.7392905253246407
275,0.00013793103448275863,3.0649277567863464,0.7401713692662003
280,0.00014042978510744628,3.0958130955696106,0.7169699028839791
285,0.00014292853573213396,3.0478307604789734,0.7174247218945782
290,0.00014542728635682158,3.044716715812683,0.6826820826320656
295,0.00014792603698150924,3.0287587642669678,0.7118529710910989
300,0.0001504247876061969,3.007710576057434,0.6997547863936678
